"","Year","Month","Day","Sentiment","Count","Avg_Per"
"443","2020",6,17,"neutral",1421201,0.456529321333333
"444","2020",6,17,"positive",253791,0.0807006936666667
"445","2020",6,18,"negative",1312861,0.434301126916667
"446","2020",6,18,"neutral",1395896,0.460098524125
"447","2020",6,18,"positive",317809,0.105600349083333
"448","2020",6,19,"negative",1220364,0.393748356833333
"449","2020",6,19,"neutral",1556689,0.505584361916667
"450","2020",6,19,"positive",312573,0.100667281166667
"451","2020",6,20,"negative",1246485,0.420790657708333
"452","2020",6,20,"neutral",1432476,0.483827569416667
"453","2020",6,20,"positive",286907,0.0953817729166667
"454","2020",6,21,"negative",1460745,0.504070911
"455","2020",6,21,"neutral",1160605,0.405155406458333
"456","2020",6,21,"positive",260257,0.0907736825833333
"457","2020",6,22,"negative",1444967,0.468152241541667
"458","2020",6,22,"neutral",1360929,0.437925311041667
"459","2020",6,22,"positive",284394,0.0939224473333333
"460","2020",6,23,"negative",1580404,0.463926800708333
"461","2020",6,23,"neutral",1522507,0.450446858125
"462","2020",6,23,"positive",292901,0.0856263412083333
"463","2020",6,24,"negative",1501190,0.440636743416667
"464","2020",6,24,"neutral",1630577,0.480733975125
"465","2020",6,24,"positive",267041,0.0786292815
"466","2020",6,25,"negative",1716072,0.480539629166667
"467","2020",6,25,"neutral",1559078,0.437823905125
"468","2020",6,25,"positive",288254,0.0816364656666667
"469","2020",6,26,"negative",1858199,0.490574673166667
"470","2020",6,26,"neutral",1601400,0.424677331791667
"471","2020",6,26,"positive",320788,0.0847479949583333
"472","2020",6,27,"negative",1628246,0.473899912375
"473","2020",6,27,"neutral",1499337,0.436809348625
"474","2020",6,27,"positive",309405,0.0892907390833333
"475","2020",6,28,"negative",1628051,0.479261848083333
"476","2020",6,28,"neutral",1487961,0.435846617625
"477","2020",6,28,"positive",285082,0.0848915344583333
"478","2020",6,29,"negative",1635983,0.47332379825
"479","2020",6,29,"neutral",1544968,0.4467775615
"480","2020",6,29,"positive",278691,0.0798986400416667
"481","2020",6,30,"negative",1842600,0.489567009666667
"482","2020",6,30,"neutral",1618341,0.432867970833333
"483","2020",6,30,"positive",291377,0.077565019625
"484","2020",7,1,"negative",1799952,0.478112249291667
"485","2020",7,1,"neutral",1572422,0.419714141541667
